x y label
-5.297912 -5.1379294 5
-5.297912 -5.0379295 5
-5.297912 -4.9379296 5
-5.297912 -4.8379297 5
-5.297912 -4.73793 5
-5.297912 -4.63793 5
-5.297912 -4.53793 5
-5.297912 -4.43793 5
-5.297912 -4.33793 5
-5.297912 -4.2379303 5
-5.297912 -4.1379304 5
-5.297912 -4.0379305 5
-5.297912 -3.9379306 5
-5.297912 -3.8379307 5
-5.297912 -3.7379308 5
-5.297912 -3.6379309 5
-5.297912 -3.537931 5
-5.297912 -3.437931 5
-5.297912 -3.3379312 5
-5.297912 -3.2379313 5
-5.297912 -3.1379313 5
-5.297912 -3.0379314 5
-5.297912 -2.9379315 5
-5.297912 -2.8379316 5
-5.297912 -2.7379317 5
-5.297912 -2.6379318 5
-5.297912 -2.537932 5
-5.297912 -2.437932 5
-5.297912 -2.337932 5
-5.297912 -2.2379322 5
-5.297912 -2.1379323 5
-5.297912 -2.0379324 5
-5.297912 -1.9379324 5
-5.297912 -1.8379323 5
-5.297912 -1.7379323 5
-5.297912 -1.6379323 5
-5.297912 -1.5379323 5
-5.297912 -1.4379323 5
-5.297912 -1.3379322 5
-5.297912 -1.2379322 5
-5.297912 -1.1379322 5
-5.297912 -1.0379322 5
-5.297912 -0.93793213 5
-5.297912 -0.8379321 5
-5.297912 -0.7379321 5
-5.297912 -0.63793206 5
-5.297912 -0.53793204 5
-5.297912 -0.43793204 4
-5.297912 -0.33793205 4
-5.297912 -0.23793206 4
-5.297912 -0.13793206 4
-5.297912 -0.03793206 4
-5.297912 0.06206794 4
-5.297912 0.16206795 4
-5.297912 0.26206794 4
-5.297912 0.36206794 4
-5.297912 0.46206793 4
-5.297912 0.5620679 4
-5.297912 0.66206795 4
-5.297912 0.762068 4
-5.297912 0.862068 4
-5.297912 0.962068 4
-5.297912 1.062068 4
-5.297912 1.162068 4
-5.297912 1.262068 4
-5.297912 1.362068 4
-5.297912 1.4620681 4
-5.297912 1.5620681 4
-5.297912 1.6620681 4
-5.297912 1.7620682 4
-5.297912 1.8620682 4
-5.297912 1.9620682 4
-5.297912 2.0620682 4
-5.297912 2.1620681 4
-5.297912 2.262068 4
-5.297912 2.362068 4
-5.297912 2.4620678 4
-5.297912 2.5620677 4
-5.297912 2.6620677 4
-5.297912 2.7620676 4
-5.297912 2.8620675 4
-5.297912 2.9620674 4
-5.297912 3.0620673 4
-5.297912 3.1620672 4
-5.297912 3.262067 4
-5.297912 3.362067 4
-5.297912 3.462067 4
-5.297912 3.5620668 4
-5.297912 3.6620667 4
-5.297912 3.7620666 4
-5.297912 3.8620665 4
-5.297912 3.9620664 4
-5.297912 4.0620666 4
-5.297912 4.1620665 4
-5.297912 4.2620664 4
-5.297912 4.3620663 4
-5.297912 4.462066 4
-5.297912 4.562066 4
-5.297912 4.662066 4
-5.297912 4.762066 4
-5.297912 4.862066 4
-5.297912 4.9620657 4
-5.297912 5.0620656 4
-5.297912 5.1620655 4
-5.297912 5.2620654 4
-5.297912 5.3620653 4
-5.297912 5.462065 4
-5.297912 5.562065 4
-5.297912 5.662065 4
-5.297912 5.762065 4
-5.297912 5.862065 4
-5.297912 5.9620647 4
-5.297912 6.0620646 4
-5.297912 6.1620646 4
-5.297912 6.2620645 4
-5.197912 -5.1379294 5
-5.197912 -5.0379295 5
-5.197912 -4.9379296 5
-5.197912 -4.8379297 5
-5.197912 -4.73793 5
-5.197912 -4.63793 5
-5.197912 -4.53793 5
-5.197912 -4.43793 5
-5.197912 -4.33793 5
-5.197912 -4.2379303 5
-5.197912 -4.1379304 5
-5.197912 -4.0379305 5
-5.197912 -3.9379306 5
-5.197912 -3.8379307 5
-5.197912 -3.7379308 5
-5.197912 -3.6379309 5
-5.197912 -3.537931 5
-5.197912 -3.437931 5
-5.197912 -3.3379312 5
-5.197912 -3.2379313 5
-5.197912 -3.1379313 5
-5.197912 -3.0379314 5
-5.197912 -2.9379315 5
-5.197912 -2.8379316 5
-5.197912 -2.7379317 5
-5.197912 -2.6379318 5
-5.197912 -2.537932 5
-5.197912 -2.437932 5
-5.197912 -2.337932 5
-5.197912 -2.2379322 5
-5.197912 -2.1379323 5
-5.197912 -2.0379324 5
-5.197912 -1.9379324 5
-5.197912 -1.8379323 5
-5.197912 -1.7379323 5
-5.197912 -1.6379323 5
-5.197912 -1.5379323 5
-5.197912 -1.4379323 5
-5.197912 -1.3379322 5
-5.197912 -1.2379322 5
-5.197912 -1.1379322 5
-5.197912 -1.0379322 5
-5.197912 -0.93793213 5
-5.197912 -0.8379321 5
-5.197912 -0.7379321 5
-5.197912 -0.63793206 5
-5.197912 -0.53793204 5
-5.197912 -0.43793204 4
-5.197912 -0.33793205 4
-5.197912 -0.23793206 4
-5.197912 -0.13793206 4
-5.197912 -0.03793206 4
-5.197912 0.06206794 4
-5.197912 0.16206795 4
-5.197912 0.26206794 4
-5.197912 0.36206794 4
-5.197912 0.46206793 4
-5.197912 0.5620679 4
-5.197912 0.66206795 4
-5.197912 0.762068 4
-5.197912 0.862068 4
-5.197912 0.962068 4
-5.197912 1.062068 4
-5.197912 1.162068 4
-5.197912 1.262068 4
-5.197912 1.362068 4
-5.197912 1.4620681 4
-5.197912 1.5620681 4
-5.197912 1.6620681 4
-5.197912 1.7620682 4
-5.197912 1.8620682 4
-5.197912 1.9620682 4
-5.197912 2.0620682 4
-5.197912 2.1620681 4
-5.197912 2.262068 4
-5.197912 2.362068 4
-5.197912 2.4620678 4
-5.197912 2.5620677 4
-5.197912 2.6620677 4
-5.197912 2.7620676 4
-5.197912 2.8620675 4
-5.197912 2.9620674 4
-5.197912 3.0620673 4
-5.197912 3.1620672 4
-5.197912 3.262067 4
-5.197912 3.362067 4
-5.197912 3.462067 4
-5.197912 3.5620668 4
-5.197912 3.6620667 4
-5.197912 3.7620666 4
-5.197912 3.8620665 4
-5.197912 3.9620664 4
-5.197912 4.0620666 4
-5.197912 4.1620665 4
-5.197912 4.2620664 4
-5.197912 4.3620663 4
-5.197912 4.462066 4
-5.197912 4.562066 4
-5.197912 4.662066 4
-5.197912 4.762066 4
-5.197912 4.862066 4
-5.197912 4.9620657 4
-5.197912 5.0620656 4
-5.197912 5.1620655 4
-5.197912 5.2620654 4
-5.197912 5.3620653 4
-5.197912 5.462065 4
-5.197912 5.562065 4
-5.197912 5.662065 4
-5.197912 5.762065 4
-5.197912 5.862065 4
-5.197912 5.9620647 4
-5.197912 6.0620646 4
-5.197912 6.1620646 4
-5.197912 6.2620645 4
-5.0979123 -5.1379294 5
-5.0979123 -5.0379295 5
-5.0979123 -4.9379296 5
-5.0979123 -4.8379297 5
-5.0979123 -4.73793 5
-5.0979123 -4.63793 5
-5.0979123 -4.53793 5
-5.0979123 -4.43793 5
-5.0979123 -4.33793 5
-5.0979123 -4.2379303 5
-5.0979123 -4.1379304 5
-5.0979123 -4.0379305 5
-5.0979123 -3.9379306 5
-5.0979123 -3.8379307 5
-5.0979123 -3.7379308 5
-5.0979123 -3.6379309 5
-5.0979123 -3.537931 5
-5.0979123 -3.437931 5
-5.0979123 -3.3379312 5
-5.0979123 -3.2379313 5
-5.0979123 -3.1379313 5
-5.0979123 -3.0379314 5
-5.0979123 -2.9379315 5
-5.0979123 -2.8379316 5
-5.0979123 -2.7379317 5
-5.0979123 -2.6379318 5
-5.0979123 -2.537932 5
-5.0979123 -2.437932 5
-5.0979123 -2.337932 5
-5.0979123 -2.2379322 5
-5.0979123 -2.1379323 5
-5.0979123 -2.0379324 5
-5.0979123 -1.9379324 5
-5.0979123 -1.8379323 5
-5.0979123 -1.7379323 5
-5.0979123 -1.6379323 5
-5.0979123 -1.5379323 5
-5.0979123 -1.4379323 5
-5.0979123 -1.3379322 5
-5.0979123 -1.2379322 5
-5.0979123 -1.1379322 5
-5.0979123 -1.0379322 5
-5.0979123 -0.93793213 5
-5.0979123 -0.8379321 5
-5.0979123 -0.7379321 5
-5.0979123 -0.63793206 5
-5.0979123 -0.53793204 5
-5.0979123 -0.43793204 4
-5.0979123 -0.33793205 4
-5.0979123 -0.23793206 4
-5.0979123 -0.13793206 4
-5.0979123 -0.03793206 4
-5.0979123 0.06206794 4
-5.0979123 0.16206795 4
-5.0979123 0.26206794 4
-5.0979123 0.36206794 4
-5.0979123 0.46206793 4
-5.0979123 0.5620679 4
-5.0979123 0.66206795 4
-5.0979123 0.762068 4
-5.0979123 0.862068 4
-5.0979123 0.962068 4
-5.0979123 1.062068 4
-5.0979123 1.162068 4
-5.0979123 1.262068 4
-5.0979123 1.362068 4
-5.0979123 1.4620681 4
-5.0979123 1.5620681 4
-5.0979123 1.6620681 4
-5.0979123 1.7620682 4
-5.0979123 1.8620682 4
-5.0979123 1.9620682 4
-5.0979123 2.0620682 4
-5.0979123 2.1620681 4
-5.0979123 2.262068 4
-5.0979123 2.362068 4
-5.0979123 2.4620678 4
-5.0979123 2.5620677 4
-5.0979123 2.6620677 4
-5.0979123 2.7620676 4
-5.0979123 2.8620675 4
-5.0979123 2.9620674 4
-5.0979123 3.0620673 4
-5.0979123 3.1620672 4
-5.0979123 3.262067 4
-5.0979123 3.362067 4
-5.0979123 3.462067 4
-5.0979123 3.5620668 4
-5.0979123 3.6620667 4
-5.0979123 3.7620666 4
-5.0979123 3.8620665 4
-5.0979123 3.9620664 4
-5.0979123 4.0620666 4
-5.0979123 4.1620665 4
-5.0979123 4.2620664 4
-5.0979123 4.3620663 4
-5.0979123 4.462066 4
-5.0979123 4.562066 4
-5.0979123 4.662066 4
-5.0979123 4.762066 4
-5.0979123 4.862066 4
-5.0979123 4.9620657 4
-5.0979123 5.0620656 4
-5.0979123 5.1620655 4
-5.0979123 5.2620654 4
-5.0979123 5.3620653 4
-5.0979123 5.462065 4
-5.0979123 5.562065 4
-5.0979123 5.662065 4
-5.0979123 5.762065 4
-5.0979123 5.862065 4
-5.0979123 5.9620647 4
-5.0979123 6.0620646 4
-5.0979123 6.1620646 4
-5.0979123 6.2620645 4
-4.9979124 -5.1379294 5
-4.9979124 -5.0379295 5
-4.9979124 -4.9379296 5
-4.9979124 -4.8379297 5
-4.9979124 -4.73793 5
-4.9979124 -4.63793 5
-4.9979124 -4.53793 5
-4.9979124 -4.43793 5
-4.9979124 -4.33793 5
-4.9979124 -4.2379303 5
-4.9979124 -4.1379304 5
-4.9979124 -4.0379305 5
-4.9979124 -3.9379306 5
-4.9979124 -3.8379307 5
-4.9979124 -3.7379308 5
-4.9979124 -3.6379309 5
-4.9979124 -3.537931 5
-4.9979124 -3.437931 5
-4.9979124 -3.3379312 5
-4.9979124 -3.2379313 5
-4.9979124 -3.1379313 5
-4.9979124 -3.0379314 5
-4.9979124 -2.9379315 5
-4.9979124 -2.8379316 5
-4.9979124 -2.7379317 5
-4.9979124 -2.6379318 5
-4.9979124 -2.537932 5
-4.9979124 -2.437932 5
