x y label
1.900099 -1.7187814 1
2.0188258 -1.881244 1
2.0209608 -1.6330092 1
1.8081415 -1.581063 1
1.7942742 -1.4 1
1.6946921 -1.8484795 1
1.9597718 -1.7706711 1
2.097267 -1.5804281 1
1.7486193 -1.8274652 1
1.4731303 -1.8378354 1
1.6333348 -1.8666552 1
1.8690506 -2.144859 1
1.632284 -1.65196 1
2.0082202 -1.818962 1
1.8488019 -1.6843358 1
2.1384754 -1.423346 1
1.6953026 -1.7825711 1
1.7994533 -2.0341609 1
1.7662513 -1.1677521 1
1.7180218 -1.941921 1
1.4998668 -1.6633668 1
2.1284132 -1.5116034 1
1.9177405 -1.7221245 1
1.575936 -1.9414715 1
1.8759396 -1.6144143 1
1.5502326 -1.6308612 1
1.871687 -1.7678361 1
1.9706204 -1.4441341 1
2.0877736 -1.5765811 1
1.8286419 -1.7260329 1
1.8247569 -1.722242 1
2.0374806 -1.9616749 1
1.5084783 -1.8943865 1
1.8237973 -1.8840815 1
1.7221168 -1.8442281 1
1.8129181 -1.5581954 1
1.936042 -1.6924913 1
2.1305168 -1.5559669 1
1.617628 -2.2656991 1
1.7824326 -1.7556059 1
1.8777782 -2.0092182 1
2.0815847 -1.9431362 1
1.8038187 -1.8344239 1
1.6579742 -1.4422444 1
1.925874 -1.5870218 1
1.833402 -1.6618441 1
1.6861993 -1.70887 1
2.1909182 -1.4541599 1
1.846754 -1.5055892 1
1.8098738 -1.607596 1
1.8858347 -1.6672833 1
2.0152104 -1.7138773 1
1.8870203 -1.5902653 1
1.9997514 -1.7896391 1
2.0356321 -1.7932978 1
2.220706 -1.8539062 1
1.6574597 -1.5427384 1
1.9768904 -1.8971597 1
2.157981 -1.675698 1
2.1098194 -1.695849 1
2.0166702 -1.7931085 1
1.6371456 -1.5967367 1
1.8045996 -1.6206322 1
1.4827598 -2.0338078 1
1.7865906 -1.7804582 1
1.5665853 -1.8299048 1
2.0301452 -1.7610385 1
1.8433619 -1.7116998 1
1.6385884 -1.9604435 1
1.5929099 -1.7558002 1
1.9362445 -1.6069213 1
2.017003 -1.4355581 1
1.6283774 -1.7231019 1
1.7153456 -1.6323286 1
1.9996879 -2.0042422 1
1.870421 -1.4495065 1
2.1268678 -1.7395655 1
2.1915593 -1.53803 1
1.7920818 -1.4770637 1
1.883727 -1.9205296 1
1.7942928 -1.5959374 1
1.7710545 -1.7128065 1
2.0058293 -1.8381393 1
1.5973513 -1.6530665 1
2.0060954 -1.6709696 1
1.7093632 -1.5446693 1
1.8681076 -1.9291097 1
1.992555 -1.9286284 1
1.6210777 -1.7333703 1
1.488985 -1.566158 1
1.7206185 -1.2676057 1
1.6315461 -1.6694901 1
1.7905622 -1.6913418 1
1.7253964 -2.155468 1
1.747859 -2.0443337 1
1.8531339 -1.6578794 1
1.5677643 -1.2930442 1
1.7736576 -1.805843 1
1.810386 -1.7780309 1
1.880488 -1.4830961 1
2.7535913 0.8362898 2
3.0929253 0.8186878 2
3.0549529 1.2816973 2
2.8984609 0.88724667 2
2.8613558 1.1148719 2
2.941316 1.2574579 2
2.7720253 1.2285892 2
3.2194822 1.3530093 2
3.0390885 0.9873745 2
3.0974815 1.1734896 2
2.6519213 1.0507782 2
3.0194585 1.0624781 2
3.1036139 0.8908116 2
2.8525407 0.8732474 2
2.7183943 1.0461727 2
2.917427 1.244414 2
3.0504966 1.1604017 2
3.089235 1.2491409 2
2.784608 1.4092317 2
3.4654398 1.1739129 2
2.920463 1.0302035 2
2.9714756 0.88129765 2
3.1754715 1.0208077 2
3.0944107 1.1454532 2
3.1969576 1.1040545 2
2.8900437 0.9132963 2
2.9850347 1.2252476 2
3.0105155 1.1353484 2
3.372528 1.1815585 2
3.100719 0.983276 2
3.237892 1.0381775 2
2.872421 1.06554 2
3.0665534 1.0936338 2
2.6476455 1.1540072 2
2.945529 1.0138556 2
3.0428398 0.8556284 2
2.7785144 1.1195741 2
3.1934764 1.0251004 2
2.7983644 0.878418 2
2.8399773 1.0129836 2
2.985211 0.81074435 2
3.1178172 1.0885743 2
2.8331473 1.1765931 2
2.9512482 1.1956738 2
2.6049883 1.0123978 2
3.19999 1.1187865 2
2.780908 1.1189374 2
3.159539 1.0547138 2
2.7858796 1.0753857 2
2.902787 1.1435024 2
2.938918 1.4120053 2
3.113095 1.11131 2
2.839196 0.7584622 2
2.6505952 1.022586 2
2.9079444 1.1716498 2
3.2082314 0.93588084 2
3.179901 1.0824013 2
3.367536 1.2806529 2
2.9494078 0.9905661 2
